subject	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://w3.org/ns/oa#hasBody	http://w3.org/ns/oa#annotatedBy	http://w3.org/ns/oa#hasTarget	http://w3.org/ns/oa#motivatedBy	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#isString	http://www.w3.org/2005/11/its/rdf#taAnnotatorsRef	http://www.w3.org/2005/11/its/rdf#taIdentRef	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#anchorOf	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#endIndex	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#referenceContext	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#beginIndex	http://schema.org/datePublished	http://schema.org/dateCreated	http://schema.org/alternateName	http://schema.org/thumbnailUrl	http://schema.org/keywords	http://schema.org/url	http://schema.org/author	http://schema.org/producer	http://schema.org/publisher	http://schema.org/availability	http://schema.org/contributor	http://schema.org/license	http://schema.org/description	http://schema.org/duration	http://schema.org/name	http://purl.org/dc/terms/language	http://purl.org/dc/terms/subject	http://bibframe.org/vocab/doi	http://purl.org/dc/terms/identifier	http://bibframe.org/vocab/subtitle	http://purl.org/dc/terms/isPartOf	http://schema.org/noOfItems	http://bibframe.org/vocab/partNumber	http://xmlns.com/foaf/0.1/name
http://av.tib.eu/resource/collection/11	http://purl.org/dc/dcmitype/Collection																										"""Mathematik 1, Winter 2011/2012"""									
http://av.tib.eu/resource/collection/46	http://purl.org/dc/dcmitype/Collection																										"""Information Retrieval"""									
http://av.tib.eu/resource/collection/63	http://purl.org/dc/dcmitype/Collection																										"""Lecture Collection | Particle Physics: Basic Concepts"""									
http://av.tib.eu/resource/collection/33	http://purl.org/dc/dcmitype/Collection																										"""Chaos - A mathematical adventure"""									
http://av.tib.eu/resource/collection/53	http://purl.org/dc/dcmitype/Collection																										"""Lecture Collection | The Theoretical Minimum: Quantum Mechanics"""									
http://av.tib.eu/resource/collection/21	http://purl.org/dc/dcmitype/Collection																										"""Semantic Web WS 2009/10"""									
http://av.tib.eu/resource/collection/7	http://purl.org/dc/dcmitype/Collection																										"""Semantic Web Technologien WS 2012/13"""									
http://av.tib.eu/resource/collection/55	http://purl.org/dc/dcmitype/Collection																										"""Lecture Collection | General Relativity"""									
http://av.tib.eu/resource/collection/67	http://purl.org/dc/dcmitype/Collection																										"""Einführung in die Reaktionskinetik"""									
http://av.tib.eu/resource/collection/57	http://purl.org/dc/dcmitype/Collection																										"""Lecture Collection | String Theory and M-Theory"""									
http://av.tib.eu/resource/collection/16	http://purl.org/dc/dcmitype/Collection																										"""Informatik 1, Winter 2011/2012"""									
